EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,2,5,4,2,5,4,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,7,2,5,4,3,5,4,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,7,3,5,5,4,5,3,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,7,3,5,5,4,5,3,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,7,3,6,5,4,7,3,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,7,4,6,5,4,5,3,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
5,7,6,5,5,6,5,5,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,7,4,3,6,4,6,5,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,6,6,5,6,5,6,6,6,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
3,5,6,5,7,5,5,6,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,5,5,5,7,4,5,6,5,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
