EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,5,3,5,4,5,2,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
5,5,5,5,3,5,4,5,2,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
5,5,5,5,3,5,4,5,2,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
5,5,5,5,3,5,4,5,2,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
5,5,5,5,3,5,4,5,2,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
5,5,5,5,3,5,4,5,2,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
4,5,5,5,4,5,5,5,3,11,inglissarv; oboe; ingeli; klassikatähed; naisoboemängija
2,5,5,3,3,4,4,5,3,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
2,4,5,2,3,3,3,5,3,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
1,5,5,2,2,2,4,5,3,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
1,4,5,1,2,3,3,5,4,11,inglissarv; ingeli; oboe; klassikatähed; naisoboemängija
