EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,5,5,6,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,5,5,5,6,7,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,3,5,5,6,7,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,3,7,5,6,7,7,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,3,7,5,6,7,7,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,3,7,4,6,7,7,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,4,7,4,6,7,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
7,4,7,6,6,7,7,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
5,2,7,7,6,7,5,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,3,7,6,6,7,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,5,7,6,6,7,5,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
