EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,5,8,7,5,5,6,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
10,9,5,8,7,6,5,6,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
10,9,5,8,7,6,5,9,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
9,9,6,8,7,7,5,9,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
9,8,7,7,7,6,4,10,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
8,8,9,7,8,6,6,6,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
7,8,9,8,9,8,6,7,6,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
8,8,10,10,9,9,8,9,7,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
8,7,11,9,9,8,9,9,8,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
7,9,9,10,9,9,8,8,10,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
7,9,10,8,10,10,8,8,10,12,isetegemine; agu; mait; tänutunne; heinamaa; soomaa; vaike; rajaste; tantsupidu; metsamaa; hing
