EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,3,3,2,3,4,3,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,4,2,4,3,2,3,4,3,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,4,2,4,3,2,3,4,3,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,4,2,5,3,2,3,3,3,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,2,4,5,3,2,2,3,3,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,2,4,5,3,3,2,3,4,13,suvi; kamp; sõjalennuk; leho; kont; boriss
3,1,4,5,3,5,4,2,5,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,2,2,5,4,2,3,2,5,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,3,3,3,4,4,5,3,5,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,4,3,4,4,5,1,3,5,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,4,3,3,4,5,2,4,5,13,suvi; kamp; sõjalennuk; leho; kont; boriss
