EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
3,2,2,2,1,2,2,3,0,11,aktiivne; mendelejevi; muldmetall; eerik; neodüüm; mart
