EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
3,3,1,1,1,3,1,1,0,10,kolhoos; varandus; õigus; talu; vabadus
