EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,2,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,3,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,3,1,1,4,3,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,1,1,5,3,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
1,4,4,0,1,4,3,3,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
