EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,6,0,4,5,3,4,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,4,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
3,2,6,0,4,5,3,3,0,11,elektronkiir; antenn; marek; alar; valgus; signaal
