EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,4,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,4,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,4,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,3,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,3,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,3,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,3,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,3,1,2,4,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,2,1,2,3,3,2,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
3,3,2,0,2,2,3,1,0,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
