EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,0,1,0,1,0,1,12,nobeli; portaal; kristjan; port
0,0,2,0,1,0,1,0,1,12,nobeli; portaal; kristjan; port
0,0,2,0,1,0,1,0,1,12,nobeli; portaal; kristjan; port
0,0,2,0,1,0,1,0,1,12,nobeli; portaal; kristjan; port
0,0,2,0,1,0,1,0,1,12,nobeli; portaal; kristjan; port
0,0,2,0,1,0,1,0,1,12,nobeli; portaal; kristjan; port
0,0,3,0,1,1,1,0,1,12,nobeli; portaal; kristjan; port
0,0,2,1,1,1,1,1,1,12,portaal; kristjan; nobeli; port
0,0,2,1,1,1,2,1,1,12,portaal; kristjan; nobeli; port
0,0,2,1,1,1,2,1,1,12,portaal; kristjan; nobeli; port
0,0,2,1,1,1,3,1,1,12,portaal; kristjan; nobeli; port
