EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,0,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,1,1,0,0,1,0,11,kaitseliit; tehnika; muhu
2,0,1,1,1,0,0,1,0,11,kaitseliit; tehnika; muhu
1,0,1,1,1,0,0,2,0,11,tehnika; kaitseliit; muhu
