EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
0,5,5,2,1,3,4,5,0,15,lasmann; piret; peeter; jürgens; kriivan; rõõm; autasu; toomas; põlendik; kadri; naissoo; tõnu
