EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,3,2,1,3,2,0,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
