EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,0,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,2,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,1,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,1,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
3,2,2,0,2,1,1,1,0,11,arvamus; täiskasvanu; tooming; enesetunnetus
