EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
4,5,4,3,0,3,6,3,2,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
