EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,1,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,1,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,1,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,1,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,1,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,3,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,3,0,2,1,4,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,3,0,2,1,5,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
1,3,5,1,1,0,5,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
1,3,5,0,1,1,5,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
1,4,5,1,1,1,5,1,0,13,käär; heinsoo; hiiu; lasteraamat; sõna; lili
