EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,9,9,6,10,10,10,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
10,8,9,9,6,10,10,11,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
10,8,9,9,6,10,10,11,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
10,8,9,9,6,11,9,11,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
9,8,10,8,6,11,9,11,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
9,9,10,11,7,11,10,11,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; aleksander; poliitiline; kunstihoone; härm; graafikatriennaal; kuraator
8,9,9,11,9,11,11,10,10,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; poliitiline; aleksander; kunstihoone; kuraator; härm; graafikatriennaal; anders
8,9,10,11,10,11,11,10,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
8,9,10,11,9,10,12,11,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
7,9,9,12,11,10,12,8,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
7,9,8,11,11,11,12,9,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
