EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,9,7,8,6,5,8,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,7,7,6,5,8,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,7,7,6,5,8,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,9,7,7,5,8,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,9,7,7,6,9,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,8,10,10,7,8,8,9,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,7,10,9,7,9,9,10,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,7,10,8,8,9,10,10,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,8,9,9,10,10,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,9,10,10,10,9,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,10,10,10,10,8,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
