EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,2,4,2,2,2,4,1,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
2,4,3,4,2,3,2,5,1,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
2,5,3,4,2,3,3,5,1,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
2,5,3,5,2,4,3,5,1,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
3,5,4,5,2,5,4,5,2,19,dekoratiivne; riina; aasta; eesti; sulev; heino; autoriteet
4,4,5,5,3,6,6,5,2,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,6,6,5,3,6,5,5,2,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
6,6,7,7,4,7,6,5,2,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,7,6,5,5,6,6,2,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,4,7,6,4,6,5,7,3,19,dekoratiivne; riina; aasta; eesti; autoriteet; heino; sulev
5,3,7,6,5,7,6,7,5,19,dekoratiivne; riina; eesti; aasta; autoriteet; heino; sulev
