EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,10,9,9,7,9,10,10,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,9,10,9,9,8,9,11,10,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,10,10,9,9,8,10,11,10,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,10,10,8,9,9,10,11,10,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,10,10,8,10,9,11,11,10,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,10,10,8,10,11,10,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,10,10,11,10,10,9,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
11,9,10,11,10,11,10,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
9,11,10,11,11,10,10,10,9,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,11,10,11,10,10,10,10,9,12,seen; šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
9,11,10,11,10,10,10,10,9,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
