EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,3,6,2,4,6,4,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
6,4,4,6,2,4,8,4,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
6,4,4,6,2,7,8,5,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
6,5,4,7,2,7,8,4,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
5,5,4,8,2,7,8,4,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
4,5,7,7,2,7,7,4,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
5,5,7,6,3,7,8,6,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
4,5,6,5,3,8,6,6,2,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
3,6,5,5,4,7,6,5,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
4,4,6,5,6,7,7,5,2,11,teater; kriitika; näitleja; intervjuu; mikomägi; rapla; panso; voldemar
4,5,6,6,7,6,7,5,3,11,teater; kriitika; näitleja; intervjuu; rapla; mikomägi; panso; voldemar
