EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,7,5,8,10,9,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
8,8,9,8,6,9,10,9,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
8,8,10,8,6,10,11,9,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
8,8,10,9,6,12,11,12,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
7,9,13,9,6,13,10,12,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
10,10,13,8,9,10,11,13,11,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
11,8,13,14,7,13,13,14,12,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
10,5,13,11,8,10,9,13,10,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
7,6,11,12,7,10,12,13,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; august; draamakunst; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
9,7,11,12,10,9,10,11,9,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; august; draamakunst; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
11,7,10,12,10,11,11,12,8,16,olesk; ärkamisaeg; mart; kirjandus; peeter; eesti; kitzberg; komöödia; draamakunst; august; monopol; vilde; venestamisaeg; kuuldemäng; tragöödia
