EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,6,10,4,7,8,11,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
10,6,6,10,4,7,8,11,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
10,6,9,10,4,6,8,10,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
10,6,9,10,4,6,8,9,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
10,6,9,11,4,6,7,9,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
7,7,8,9,4,7,7,8,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; disainer; kollektsioon; lavastaja; kõrgem; paju
8,9,10,9,5,10,8,9,5,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
8,9,11,8,5,8,9,9,3,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
6,9,10,8,8,8,8,11,4,13,aksessuaar; kristina; tartu; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
7,9,10,8,7,7,10,11,3,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
6,8,9,8,8,10,8,11,4,13,aksessuaar; tartu; kristina; kunstikool; anatoomikum; tants; seenemaa; moeetendus; kollektsioon; disainer; lavastaja; kõrgem; paju
