EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,1,4,1,0,3,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
3,3,4,1,4,1,1,3,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
3,3,4,1,4,1,1,3,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
3,3,4,1,4,1,1,3,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
2,4,4,2,4,1,0,4,1,13,kvaliteet; hapnik; filter; korrosioon; jaak
2,4,4,2,4,2,2,3,1,13,kvaliteet; hapnik; filter; korrosioon; jaak
0,4,4,4,5,3,4,3,1,13,kvaliteet; hapnik; filter; korrosioon; jaak
2,3,4,3,4,4,4,5,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
3,3,5,2,5,4,3,4,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
3,3,5,2,4,4,4,4,2,13,kvaliteet; hapnik; filter; korrosioon; jaak
3,3,5,4,3,4,4,4,3,13,kvaliteet; hapnik; filter; korrosioon; jaak
