EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,5,3,0,0,4,6,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,5,4,5,3,0,0,4,6,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,6,3,5,3,1,0,5,6,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,5,3,5,3,1,0,5,6,11,töölisnaine; eesti; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,5,4,5,3,2,2,5,5,11,töölisnaine; eesti; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,3,2,7,3,4,2,5,5,11,töölisnaine; eesti; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,6,3,7,3,3,2,4,4,11,töölisnaine; eesti; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
6,7,3,3,2,3,4,5,4,11,eesti; töölisnaine; kirjanik; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,2,3,4,2,6,3,7,3,11,eesti; kirjanik; töölisnaine; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,3,2,4,2,5,2,6,4,11,eesti; kirjanik; töölisnaine; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
4,3,3,5,2,5,4,6,4,11,eesti; kirjanik; töölisnaine; sõjakoledus; sõdur; piloot; hingekell; vaenlane; volga; muuseum
