EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,7,6,4,8,9,10,6,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; petrov; aasta; bob; transpordilennuk; luurelennuk; andrei
9,6,7,5,4,8,9,12,6,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; petrov; aasta; bob; transpordilennuk; luurelennuk; andrei
9,7,7,5,6,9,9,12,7,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; petrov; aasta; bob; transpordilennuk; luurelennuk; andrei
8,8,8,5,7,10,10,11,7,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; petrov; aasta; bob; transpordilennuk; luurelennuk; andrei
9,8,11,5,9,10,11,10,7,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
7,8,14,8,8,11,9,12,10,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
8,8,12,10,9,11,11,12,10,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
8,8,14,10,9,10,12,9,10,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
5,6,12,10,8,8,10,12,11,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
5,8,10,10,10,9,9,10,10,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
5,8,12,9,10,9,9,9,10,17,nsv; levimuusika; dylan; kikerpuu; kustas; laul; liit; uno; biitel; aasta; petrov; bob; transpordilennuk; luurelennuk; andrei
