EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,5,1,2,3,2,3,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
2,5,3,5,1,2,3,2,3,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
2,5,5,5,1,3,3,2,4,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
2,5,5,5,1,4,4,3,4,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
2,6,6,2,1,5,7,4,4,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
5,6,6,2,2,5,6,3,3,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
5,6,4,5,4,4,5,3,3,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
5,5,4,4,5,6,6,5,4,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
7,4,4,5,5,5,4,4,2,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
7,3,3,4,5,3,3,4,3,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
6,2,3,4,5,4,3,3,4,10,hambahar; abort; homoseksualism; ivanov; vedur; tervishoid; nõukogu; ristimine
