EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,7,8,5,7,3,6,6,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
9,10,7,8,5,7,3,6,6,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
9,10,7,8,5,7,4,6,6,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
10,10,7,8,5,8,5,9,6,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
9,10,7,8,3,8,8,8,5,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
9,10,7,6,5,8,9,9,6,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
6,9,9,7,6,8,9,7,9,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
6,9,9,6,6,7,8,8,8,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
5,8,9,7,6,7,8,10,7,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
4,10,8,8,5,7,6,8,9,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
4,8,9,8,7,8,6,8,7,12,laps; bett; alver; nennike; pärtel; nooruk; kreem; meelõhnaline; rätsep; sass; arseenik
