EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
9,9,9,9,9,9,9,9,9,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
