EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,6,3,1,2,3,4,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
5,2,6,3,1,2,3,5,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
4,2,6,3,1,2,3,6,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
4,1,7,4,1,2,3,5,6,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
5,2,7,3,1,3,4,4,6,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
6,3,7,4,3,6,6,6,6,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
7,3,8,4,4,6,6,7,6,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
6,3,7,6,7,6,7,6,6,14,evolutsioon; akadeemia; fašism; informatiivne; gustav; naan; teadus; plahvatus; sõda; lahing
6,3,6,6,7,7,6,6,5,14,evolutsioon; akadeemia; fašism; informatiivne; gustav; naan; teadus; plahvatus; sõda; lahing
3,2,6,6,7,7,6,10,6,14,akadeemia; fašism; lahing; evolutsioon; informatiivne; gustav; naan; teadus; plahvatus; sõda
4,3,7,6,6,8,5,8,7,14,evolutsioon; akadeemia; fašism; informatiivne; gustav; naan; teadus; plahvatus; sõda; lahing
