EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
10,10,10,10,10,10,10,10,10,10,september; popmuusika; laul; vikerhommik; rokkmuusika; vaikus; kool; muusika; tõnis; hommikuinimene
