EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,8,4,8,7,9,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,9,8,8,4,8,7,9,6,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
9,9,8,8,4,8,7,9,6,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
9,9,9,8,5,8,7,9,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,9,9,8,6,8,7,9,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,9,9,8,6,9,8,9,6,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
9,8,10,7,6,8,7,11,7,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
8,8,9,7,6,8,8,9,7,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
8,9,8,7,7,9,8,11,7,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
9,9,10,5,6,9,9,9,7,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
8,8,8,6,6,8,9,11,6,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
