EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,3,6,7,4,3,7,5,16,mets; proov; arm; agu; vaike; laul; maa; mait; tantsima; hing
9,5,3,7,7,4,4,7,5,16,mets; proov; arm; agu; vaike; laul; maa; mait; tantsima; hing
9,5,3,7,7,4,4,8,5,16,mets; proov; arm; agu; vaike; laul; maa; mait; tantsima; hing
8,5,4,6,7,6,5,7,5,16,mets; proov; arm; vaike; laul; agu; maa; mait; tantsima; hing
8,5,3,8,7,7,5,7,5,16,mets; proov; arm; vaike; laul; agu; maa; mait; tantsima; hing
8,5,9,8,7,9,5,8,5,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,6,9,10,9,9,8,10,5,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
8,7,9,10,10,10,9,9,6,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,6,9,10,10,10,8,10,8,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
10,5,10,9,9,9,9,10,9,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
9,6,10,9,9,9,9,10,9,16,mets; arm; agu; maa; mait; proov; vaike; laul; tantsima; hing
