EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,9,11,5,9,9,11,9,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
11,7,9,11,5,10,10,11,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
11,7,10,11,5,13,11,12,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
13,6,13,11,6,14,11,12,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
13,7,13,11,6,14,12,12,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
12,7,13,10,7,14,11,12,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; kirill; fuu; eesti; harri; klaverikontsert; ots; matti
9,8,12,10,9,13,11,12,12,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
9,9,12,10,11,11,10,13,13,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
9,8,12,11,11,10,9,11,14,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
8,9,12,11,12,10,10,11,13,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
8,8,12,11,13,11,8,9,13,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
