EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,10,9,6,6,10,10,10,9,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
6,11,10,5,6,9,10,9,9,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
6,11,11,5,6,8,9,11,9,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
7,10,10,6,6,9,8,11,8,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
8,11,11,6,6,11,8,11,7,15,talv; ants; mälestus; raamat; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
6,12,13,8,7,13,11,10,7,15,talv; tegevus; ants; raamat; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
9,11,12,8,8,11,12,13,8,15,talv; raamat; ants; tegevus; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
9,10,13,10,11,10,10,13,10,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
9,11,8,11,11,10,10,13,10,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,13,10,11,11,10,10,12,11,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
8,12,8,11,11,10,12,11,10,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
