EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,10,8,3,10,7,8,5,13,valimine; eelarve; kriis; brüssel; miinimumpalk; kroon; tanel; erakond; sügav; 4000; talv; luksemburg
5,4,10,8,3,10,7,9,5,13,valimine; eelarve; kriis; brüssel; miinimumpalk; kroon; tanel; erakond; sügav; 4000; talv; luksemburg
5,4,9,8,3,10,7,9,5,13,valimine; eelarve; kriis; brüssel; talv; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
6,4,9,8,4,10,7,10,5,13,valimine; eelarve; kriis; brüssel; talv; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
5,3,9,8,5,11,10,10,5,13,valimine; eelarve; kriis; brüssel; talv; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
5,4,11,10,7,11,11,10,5,13,valimine; eelarve; kriis; brüssel; talv; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
6,3,11,6,7,9,10,10,6,13,valimine; eelarve; kriis; brüssel; miinimumpalk; kroon; tanel; erakond; sügav; 4000; talv; luksemburg
7,5,10,4,8,11,9,10,5,13,valimine; eelarve; kriis; brüssel; talv; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
6,6,11,4,7,11,11,10,6,13,valimine; eelarve; kriis; talv; brüssel; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
5,6,9,3,6,11,11,10,6,13,valimine; eelarve; kriis; brüssel; talv; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
5,6,12,4,5,10,8,10,5,13,valimine; eelarve; kriis; talv; brüssel; miinimumpalk; kroon; erakond; sügav; 4000; tanel; luksemburg
