EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,8,7,1,7,6,9,6,12,kambja; rahvamuusika; popmuusika; muusika; lääne-aafrika; eikellegimaa; ansambel; nigeeria; rütmika; armee; prantsuse
7,6,8,6,1,7,7,9,6,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
6,7,8,6,1,8,8,9,6,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
6,7,8,6,1,8,8,9,6,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
5,7,10,8,1,8,8,9,5,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
8,6,11,7,4,6,8,9,6,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
9,8,10,7,5,8,9,11,7,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
7,8,8,6,6,9,7,11,6,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
6,7,9,7,8,7,7,9,7,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; eikellegimaa; lääne-aafrika; rütmika
5,7,9,7,8,8,5,9,8,12,kambja; rahvamuusika; popmuusika; armee; nigeeria; prantsuse; ansambel; muusika; eikellegimaa; lääne-aafrika; rütmika
5,6,5,7,8,6,7,7,8,12,kambja; rahvamuusika; popmuusika; armee; nigeeria; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
