EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,3,3,2,3,2,5,2,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
4,5,3,3,2,3,2,5,2,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,4,5,3,2,4,2,5,2,13,halb; harry; marco; kompositsioon; nali; tsensuur; diskussioon; solvang
3,5,7,2,2,5,3,5,1,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,5,7,3,2,6,4,6,1,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,5,7,4,3,7,4,5,1,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,4,5,5,6,5,5,5,1,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,6,6,6,6,7,5,5,2,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
2,4,6,6,6,6,7,4,2,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,4,6,6,6,5,7,5,4,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
3,3,3,6,6,4,6,6,4,13,halb; harry; diskussioon; kompositsioon; nali; tsensuur; marco; solvang
