EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,3,5,3,5,5,6,6,12,haigus; kaupo; amazona; põllukultuur; ink; surnu; kikkas; vihm; salapärane; linn
5,7,3,5,3,7,5,6,6,12,haigus; kaupo; amazona; põllukultuur; ink; surnu; kikkas; vihm; salapärane; linn
5,7,4,5,3,6,6,6,6,12,haigus; kaupo; amazona; põllukultuur; ink; surnu; kikkas; vihm; salapärane; linn
6,7,5,5,4,6,7,6,6,12,haigus; kaupo; amazona; põllukultuur; ink; surnu; kikkas; vihm; salapärane; linn
7,8,6,5,4,6,9,6,6,12,haigus; kaupo; põllukultuur; kikkas; vihm; salapärane; amazona; ink; surnu; linn
7,8,8,5,4,4,7,8,6,12,haigus; kaupo; amazona; põllukultuur; ink; surnu; kikkas; vihm; salapärane; linn
8,8,8,8,5,5,5,8,8,12,haigus; kaupo; amazona; põllukultuur; ink; surnu; kikkas; vihm; salapärane; linn
7,8,10,8,8,6,9,8,8,12,haigus; kaupo; põllukultuur; kikkas; vihm; salapärane; amazona; ink; surnu; linn
7,7,9,9,8,6,7,10,8,12,haigus; kaupo; põllukultuur; kikkas; vihm; salapärane; amazona; ink; surnu; linn
6,7,7,9,8,6,7,10,8,12,haigus; kaupo; põllukultuur; kikkas; vihm; salapärane; amazona; ink; surnu; linn
6,6,9,9,8,6,6,9,8,12,haigus; kaupo; põllukultuur; kikkas; vihm; salapärane; amazona; ink; surnu; linn
