EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
10,10,10,10,10,10,10,10,10,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
