EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,7,2,2,3,5,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,6,3,7,2,2,3,6,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,6,3,7,1,2,3,5,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,6,5,8,1,4,3,7,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,7,4,8,1,5,5,8,7,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,7,5,9,2,5,6,8,7,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
5,7,7,8,2,5,7,6,7,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
5,7,6,7,6,5,5,6,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
4,6,7,5,5,5,6,7,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
3,7,7,4,6,4,7,7,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
5,5,8,4,6,4,6,7,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
