EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,6,6,3,6,4,6,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
5,7,6,5,3,6,5,6,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
5,7,6,5,3,6,5,6,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
4,7,8,4,3,8,7,7,5,12,muusika; õppima; helin-mari; süda; toomas; luhats; esinemine; arder; armastus
6,7,9,4,3,8,7,8,5,12,muusika; õppima; helin-mari; süda; toomas; luhats; esinemine; arder; armastus
6,6,8,5,3,9,7,9,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
7,5,9,6,4,8,9,9,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
5,5,8,5,5,8,7,8,4,12,muusika; õppima; helin-mari; süda; toomas; luhats; esinemine; arder; armastus
4,4,7,6,6,7,8,8,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
6,4,6,6,4,7,6,9,5,12,muusika; õppima; helin-mari; süda; toomas; luhats; esinemine; arder; armastus
6,4,7,5,4,7,7,8,5,12,muusika; õppima; helin-mari; süda; luhats; toomas; esinemine; arder; armastus
