EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,6,2,1,1,5,2,14,videvikupidamine; usaldus; töö; sõda; õlletegu; jääma; kivisõda; ülo; suitsetamine; detail; vanaisa
5,5,4,7,2,1,1,5,2,14,videvikupidamine; usaldus; töö; sõda; õlletegu; jääma; kivisõda; ülo; suitsetamine; detail; vanaisa
5,4,4,7,2,2,2,5,3,14,videvikupidamine; usaldus; töö; sõda; õlletegu; jääma; kivisõda; ülo; suitsetamine; detail; vanaisa
6,4,6,7,2,3,2,6,3,14,videvikupidamine; usaldus; töö; sõda; õlletegu; jääma; kivisõda; ülo; suitsetamine; detail; vanaisa
5,4,7,5,2,4,3,6,3,14,videvikupidamine; usaldus; töö; õlletegu; jääma; sõda; kivisõda; ülo; suitsetamine; detail; vanaisa
6,4,7,5,2,4,5,6,3,14,videvikupidamine; usaldus; töö; õlletegu; jääma; sõda; kivisõda; ülo; suitsetamine; detail; vanaisa
7,3,8,6,3,6,4,7,4,14,videvikupidamine; usaldus; töö; õlletegu; jääma; sõda; kivisõda; ülo; suitsetamine; detail; vanaisa
7,3,7,3,3,9,6,8,4,14,töö; sõda; jääma; ülo; detail; videvikupidamine; usaldus; õlletegu; kivisõda; suitsetamine; vanaisa
6,4,6,5,4,8,6,7,3,14,videvikupidamine; usaldus; töö; õlletegu; jääma; sõda; kivisõda; ülo; suitsetamine; detail; vanaisa
7,5,7,4,5,6,7,7,4,14,videvikupidamine; usaldus; töö; õlletegu; sõda; jääma; kivisõda; ülo; suitsetamine; detail; vanaisa
5,5,6,5,5,6,7,6,5,14,videvikupidamine; usaldus; töö; jääma; õlletegu; sõda; kivisõda; ülo; suitsetamine; detail; vanaisa
