EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,4,0,4,6,5,3,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
7,5,4,4,0,4,6,5,3,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
9,3,4,4,0,5,6,6,3,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
9,4,5,4,0,7,8,6,3,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
9,4,9,6,0,8,8,6,3,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
6,6,9,6,0,9,10,6,3,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
5,6,8,7,3,9,10,8,3,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
3,6,7,4,3,7,10,7,4,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
3,7,7,6,7,8,10,9,4,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
3,5,7,7,7,9,9,8,4,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
3,5,8,6,9,8,9,8,5,16,inflatsioon; kai; berluscon; marje; majandus; itaalia; vare; eesti; josing; silvio
