EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,10,10,5,9,7,9,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
8,7,10,10,5,9,8,9,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
8,7,10,10,4,10,9,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
8,7,10,10,4,10,9,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
8,7,10,9,6,10,9,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
9,7,10,9,8,10,10,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
9,9,10,9,9,10,10,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
8,9,10,9,9,10,10,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
9,10,10,10,10,10,10,10,9,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
10,10,10,10,10,10,10,10,10,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
8,9,10,10,10,10,10,10,10,12,kristjan; port; facebook; hilinemine; trahv; börs; karistus; miljon; liit; euroopa
