EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,3,7,1,2,1,3,3,12,iraan; moskva; liibüa; afganistan; mäng; süda; liit; nõukogu; näitus; suitsetamine; teater
9,6,4,7,1,2,2,3,4,12,iraan; moskva; liibüa; afganistan; mäng; süda; liit; nõukogu; näitus; suitsetamine; teater
9,7,4,7,1,2,3,4,4,12,iraan; moskva; liibüa; afganistan; mäng; süda; liit; nõukogu; näitus; suitsetamine; teater
9,7,4,7,1,4,3,5,3,12,iraan; moskva; liibüa; afganistan; mäng; süda; liit; nõukogu; näitus; suitsetamine; teater
9,6,4,7,2,6,7,7,4,12,iraan; moskva; liibüa; afganistan; mäng; süda; liit; nõukogu; näitus; suitsetamine; teater
6,7,5,6,4,4,2,7,5,12,iraan; teater; moskva; afganistan; liibüa; mäng; süda; nõukogu; näitus; suitsetamine; liit
5,7,4,7,4,5,4,7,5,12,iraan; teater; moskva; liibüa; afganistan; mäng; süda; nõukogu; näitus; suitsetamine; liit
4,7,5,7,5,4,5,6,6,12,iraan; moskva; afganistan; liibüa; mäng; süda; liit; nõukogu; näitus; suitsetamine; teater
4,9,7,6,5,10,7,7,7,12,iraan; afganistan; liibüa; süda; nõukogu; näitus; teater; liit; moskva; mäng; suitsetamine
3,8,7,6,6,7,6,7,7,12,iraan; teater; moskva; liibüa; afganistan; mäng; süda; nõukogu; näitus; suitsetamine; liit
2,7,9,6,6,6,5,6,6,12,iraan; teater; moskva; liibüa; afganistan; mäng; süda; nõukogu; näitus; suitsetamine; liit
