EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,4,3,5,7,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
7,9,6,6,4,5,7,8,7,13,ants; salme; janek; inflatsioon; johanson; euro; tartu; komisjon; euroopa
8,9,7,6,4,6,7,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
8,9,7,7,4,6,7,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,9,8,6,4,8,6,8,7,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
9,9,8,6,4,8,8,7,8,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
7,8,9,7,9,7,7,8,8,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
6,8,9,6,8,7,7,8,8,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
7,7,7,6,8,7,7,8,8,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
2,7,8,6,7,7,8,8,8,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
3,6,7,7,8,7,7,8,8,13,ants; salme; janek; inflatsioon; johanson; tartu; komisjon; euro; euroopa
