EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,4,1,6,2,4,3,4,7,15,putin; keemiarelvarünnak; kultuuripealinn; bashar; sildam; toomas; vladimir; jevgeni; liikumine; töövisiit; tõnu
9,4,2,6,2,4,4,4,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; keemiarelvarünnak; kultuuripealinn; toomas; vladimir; jevgeni
9,4,5,6,2,4,6,5,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; keemiarelvarünnak; kultuuripealinn; toomas; vladimir; jevgeni
9,4,5,7,3,5,7,7,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; keemiarelvarünnak; kultuuripealinn; toomas; vladimir; jevgeni
9,4,7,7,4,6,6,7,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; keemiarelvarünnak; kultuuripealinn; toomas; vladimir; jevgeni
8,5,9,5,3,8,4,9,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; vladimir; jevgeni
6,5,8,7,4,9,6,8,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
7,6,9,7,6,9,7,9,7,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
5,4,9,7,9,10,8,9,8,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; vladimir; jevgeni
3,5,9,6,9,9,7,8,7,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
4,4,8,6,10,9,7,9,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
