EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,6,5,2,8,8,7,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
8,8,7,5,2,10,8,7,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
8,7,8,5,2,10,8,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
8,7,9,5,2,9,8,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
8,7,8,5,4,10,9,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
4,8,10,5,5,9,10,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
7,8,12,9,8,11,11,10,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,9,11,9,8,11,12,9,9,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; piletisoodustus; lennuõnnetus; rahastamine
6,9,10,12,11,8,11,9,10,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
6,9,11,12,10,11,12,9,9,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; lennuõnnetus; piletisoodustus; rahastamine
5,10,11,12,11,10,12,9,9,13,andrus; graafika; poola; jüri; ansip; adams; kontroll; parteiraha; lumekoristustöö; president; piletisoodustus; lennuõnnetus; rahastamine
