EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,7,7,3,2,2,7,11,14,selts; haridusprogramm; kultuuripäev; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
10,8,8,7,3,3,2,8,11,14,selts; haridusprogramm; kultuuripäev; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
10,8,6,7,4,4,3,8,11,14,selts; haridusprogramm; kultuuripäev; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
10,9,5,7,4,5,3,7,11,14,selts; haridusprogramm; kultuuripäev; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
10,10,8,7,4,5,2,9,11,14,selts; haridusprogramm; kultuuripäev; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
10,9,9,7,5,5,4,9,10,14,selts; haridusprogramm; kultuuripäev; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
7,9,9,10,6,4,4,8,10,14,selts; kultuuripäev; haridusprogramm; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
5,11,6,10,7,5,2,9,10,14,selts; kultuuripäev; haridusprogramm; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
5,10,6,11,7,3,5,7,10,14,selts; kultuuripäev; haridusprogramm; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
5,11,8,11,7,5,5,7,9,14,selts; kultuuripäev; haridusprogramm; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
5,9,8,10,7,5,6,8,9,14,selts; kultuuripäev; haridusprogramm; rakvere; vanemuine; kultuur; teater; vene; eesti; kõnekoosolek; keel; naisliit; estonia
