EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,9,10,4,7,8,9,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
10,7,9,10,4,7,8,9,9,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
10,7,9,10,4,7,8,9,9,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
9,8,10,10,5,6,8,9,9,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
7,7,10,10,4,8,8,9,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; rõõm; süü; toomas; ahnus
8,7,10,9,6,10,8,10,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; rõõm; süü; toomas; ahnus
8,7,12,8,7,9,9,11,9,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; rõõm; süü; toomas; ahnus
11,7,10,9,9,8,9,11,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; süü; rõõm; toomas; ahnus
11,7,12,7,10,11,11,10,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; rõõm; süü; toomas; ahnus
11,9,10,8,10,9,10,10,9,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; rõõm; süü; toomas; ahnus
11,9,9,7,11,10,10,10,10,12,tüdimus; seitse; aplus; hommikupalvus; paul; liialdus; surmapatu; darwin; rõõm; süü; toomas; ahnus
