EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,6,7,3,7,5,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
7,7,7,7,4,7,5,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
7,7,7,7,4,7,5,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
7,8,8,7,4,7,7,8,8,13,kadri-ann; karl; sagrits; heino; silver; hobune; väli; admiral
8,8,8,7,5,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,7,5,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,7,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,7,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
8,8,8,8,8,8,8,8,8,13,hobune; kadri-ann; karl; sagrits; silver; heino; väli; admiral
