EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,6,7,2,6,7,6,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
8,7,6,7,3,6,8,6,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
8,7,8,7,3,6,9,7,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
10,6,8,7,3,6,8,9,5,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
8,4,8,7,3,7,11,9,5,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
7,7,10,8,4,8,11,9,6,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
7,5,10,9,5,9,10,9,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
7,7,12,8,6,10,10,12,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
6,7,9,10,8,9,10,10,6,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
6,7,11,9,8,8,9,8,5,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
5,8,10,8,9,9,10,9,5,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
