EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
10,10,10,10,10,10,10,10,10,10,vaev; savi; muld; hing; jänesekapsas; hirm; kevadine; kodu; metsaalune; valu
