EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,11,12,2,6,7,8,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
12,8,12,12,2,6,8,9,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
12,8,12,12,2,7,9,10,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,8,12,14,2,10,11,11,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,5,13,14,2,8,12,11,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
11,6,14,14,2,10,12,10,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
8,10,11,10,6,10,8,12,9,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
8,8,13,10,10,11,14,12,8,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,8,13,8,9,11,10,13,8,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; festival; kliimamuudatus; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,9,13,6,11,11,12,13,7,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
10,9,9,6,11,12,11,12,11,17,steiner; salme; kosmosesüstik; põllumajandusprojekt; kreeka; viljandi; jürgen; laen; kliimamuudatus; festival; vare; venemaa; pärimusmuusika; muinaslaev; presidendivalimine; kai
