EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,7,0,6,7,8,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
8,8,8,7,1,6,7,8,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
9,8,8,7,1,8,7,8,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
9,9,6,7,1,8,7,9,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
8,9,10,7,2,11,10,9,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
11,9,11,10,3,10,10,11,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
10,10,12,8,6,10,11,11,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; muusikaõpetaja; valdur; kontsertorkester; liiv; hando; virumaa; põldmäe
9,8,10,9,8,10,8,9,7,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; valdur; muusikaõpetaja; kontsertorkester; liiv; hando; virumaa; põldmäe
11,8,10,8,8,8,6,8,8,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; muusikaõpetaja; valdur; kontsertorkester; liiv; hando; virumaa; põldmäe
7,7,10,8,10,6,6,8,11,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; muusikaõpetaja; valdur; kontsertorkester; liiv; hando; virumaa; põldmäe
7,9,9,8,11,7,6,7,11,15,laps; dirigent; rakvere; sümfooniaorkester; muusikakool; luha; eve; muusikaõpetaja; valdur; kontsertorkester; liiv; hando; virumaa; põldmäe
