EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,3,9,6,6,6,6,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
9,5,4,9,5,6,6,6,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
9,5,5,9,5,7,7,6,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
9,5,6,9,7,7,7,7,9,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
8,6,7,9,7,6,7,7,9,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
7,7,7,9,7,8,8,7,9,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
6,7,8,8,9,7,8,8,9,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
6,7,9,9,9,9,8,9,9,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; aleksei; ferdinand; suusk
4,7,9,9,9,9,9,9,9,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
4,8,9,9,9,9,9,9,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
4,8,9,9,9,9,9,9,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
