EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
9,9,9,9,9,9,9,9,9,11,klaas; tabel; eerik; plastik; neodüüm; valgus; mart; mendelejev; aktiivne
