EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,4,7,7,7,7,14,keiu; võõras; probleem; lavastaja; peeter; kloun; komme; urmas; virro; vadi; isiklik
6,6,6,7,4,8,7,8,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
8,6,9,7,4,8,7,8,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
7,7,9,7,4,10,7,8,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
8,7,10,8,5,11,7,9,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
8,5,10,8,6,10,8,10,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
7,6,10,10,8,10,9,9,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,8,10,10,10,10,8,9,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,9,9,11,10,9,8,10,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
6,9,10,10,11,9,8,10,7,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
5,7,8,10,11,10,8,10,8,14,peeter; komme; urmas; virro; keiu; võõras; probleem; kloun; lavastaja; vadi; isiklik
