EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,7,4,4,8,7,8,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,5,7,4,4,8,7,7,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,5,7,5,4,8,8,7,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,5,7,6,5,8,8,7,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,5,7,7,7,8,7,7,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,6,8,8,7,8,7,8,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
6,6,8,8,8,7,7,7,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
6,6,8,8,8,7,7,7,5,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,6,8,8,8,7,7,8,6,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
8,6,8,8,8,7,8,8,7,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
7,7,8,7,8,7,7,8,8,12,portaal; kristjan; poliitika; armutu; port; internet; nobel; relv
