EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,3,5,2,8,5,4,4,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
7,4,4,5,2,8,5,4,4,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
7,4,4,5,2,7,5,3,4,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
7,4,6,5,2,6,6,2,5,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
7,4,6,5,2,6,6,2,5,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
7,4,6,5,2,6,6,4,5,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
8,4,5,3,3,6,8,4,7,11,rahutu; kirjanik; kapp; tähtsus; vaenlane; kriitika; abitu; kaas
6,5,6,5,3,3,7,3,5,11,rahutu; kirjanik; kriitika; vaenlane; tähtsus; kapp; abitu; kaas
4,5,7,3,3,6,8,4,5,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
4,5,6,4,4,6,6,3,6,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
4,6,6,4,7,6,7,5,4,11,rahutu; kirjanik; vaenlane; tähtsus; kriitika; kapp; abitu; kaas
