EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,10,7,8,11,10,10,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
11,10,10,7,8,11,10,10,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
11,10,10,8,8,11,11,10,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
11,9,10,9,8,11,11,10,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
11,11,10,10,10,11,11,10,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
11,9,11,11,10,11,11,11,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
11,11,11,11,10,11,11,11,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
9,11,11,11,10,10,11,11,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
9,11,11,11,10,11,11,11,9,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
10,11,11,11,11,11,11,11,10,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
10,9,11,11,11,11,11,11,11,12,uukkivi; isa; torm; rabandus; poeg; kinni; tuisk; hoidma; raamat; käsi; ivo
