EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,8,7,7,6,8,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
9,9,9,8,7,7,7,8,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
9,9,9,9,7,7,7,8,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
9,9,8,8,7,7,7,8,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
9,9,8,8,8,9,7,9,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
9,9,8,8,9,8,8,9,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
9,9,8,8,9,9,9,9,8,10,ameerika; sport; gladiaator; naine; võit; võistlus; meedia; sõda; mees
7,9,8,8,8,9,9,9,8,10,sport; võit; võistlus; meedia; ameerika; gladiaator; naine; sõda; mees
7,9,7,8,7,9,9,8,7,10,sport; võit; võistlus; meedia; ameerika; gladiaator; naine; sõda; mees
7,9,9,8,8,9,9,9,8,10,sport; võit; võistlus; meedia; ameerika; gladiaator; naine; sõda; mees
8,9,9,8,8,8,8,8,7,10,ameerika; gladiaator; sport; naine; võit; võistlus; meedia; sõda; mees
